symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
KO,66.365,0,False,False,0.12811,False,2025-09-22 15:45,True,False,False,False,0,0.22,-1.01,0.83,False,0.0,False,0.33,False,False,66.11,66.88,780,2.0,0.39
PG,154.3,0,False,False,0.396134,False,2025-09-22 15:45,True,False,False,False,0,0.29,-3.76,-1.81,False,0.0,False,0.0,False,False,153.51,155.88,252,2.0,0.51
PEP,141.095,0,False,False,0.337226,False,2025-09-22 15:45,True,False,False,False,0,0.23,-0.1,-0.63,False,0.0,True,0.5,False,False,140.42,142.44,296,2.0,0.48
BLK,1137.9301,0,True,True,3.221578,False,2025-09-22 15:45,True,False,False,True,1,0.18,0.54,8.84,True,1.0,True,0.5,False,False,1131.49,1150.82,31,2.0,0.57
BK,108.58,0,True,True,0.273623,False,2025-09-22 15:45,True,False,False,True,1,0.21,1.47,14.19,True,1.0,True,0.5,False,False,108.03,109.67,365,2.0,0.5
USB,49.825,0,True,True,0.140174,False,2025-09-22 15:45,True,False,False,True,1,0.16,0.34,5.27,False,0.67,False,0.33,False,False,49.54,50.39,713,2.0,0.56
PNC,204.34,0,True,True,0.577553,False,2025-09-22 15:45,True,False,False,True,1,0.16,0.28,6.8,False,0.67,False,0.33,False,False,203.18,206.65,173,2.0,0.57
NEE,72.13,0,True,True,0.239796,False,2025-09-22 15:45,True,True,False,False,1,1.51,1.79,1.04,True,1.0,True,0.67,False,False,71.65,73.09,417,2.0,0.66
DUK,121.1,0,True,False,0.23859,False,2025-09-22 15:45,True,False,False,True,1,0.16,0.0,4.33,False,0.67,True,0.67,False,False,120.62,122.05,419,2.0,0.39
BP,34.485,0,True,True,0.080526,False,2025-09-22 15:45,True,False,False,True,1,0.35,0.54,5.9,True,1.0,True,0.5,False,False,34.32,34.81,1241,2.0,0.47
SHEL,70.92,0,True,False,0.118564,False,2025-09-22 15:45,True,False,False,True,1,0.28,-0.69,4.31,False,0.33,True,0.5,False,False,70.68,71.39,843,2.0,0.33
RIO,63.55,0,True,True,0.180259,False,2025-09-22 15:45,True,False,False,False,0,0.4,0.89,2.64,True,1.0,True,0.67,False,False,63.19,64.27,554,2.0,0.57
VALE,10.92,0,True,True,0.036447,False,2025-09-22 15:45,True,False,False,True,1,0.44,0.37,5.25,True,1.0,False,0.17,False,False,10.85,11.07,2743,2.0,0.67
BHP,53.1651,0,True,False,0.15656,False,2025-09-22 15:45,True,False,False,True,1,0.43,-0.01,3.25,False,0.67,False,0.33,False,False,52.85,53.79,638,2.0,0.59
COST,941.575,0,False,False,2.314217,False,2025-09-22 15:45,True,False,False,False,0,0.42,-2.23,0.85,False,0.0,False,0.17,False,False,936.95,950.83,43,2.0,0.49
WMT,102.62,0,True,True,0.328137,False,2025-09-22 15:45,True,False,False,True,1,0.27,-1.58,6.69,False,0.67,True,0.5,False,False,101.96,103.93,304,2.0,0.64
TGT,86.84,0,False,False,0.291127,False,2025-09-22 15:45,True,False,False,False,0,0.6,-2.35,-11.06,False,0.0,False,0.17,False,False,86.26,88.0,343,2.0,0.67
LOW,261.47,0,True,False,0.865603,False,2025-09-22 15:45,True,False,False,True,1,0.29,-2.42,5.08,False,0.33,False,0.0,False,False,259.74,264.93,115,2.0,0.66
HD,412.7,0,True,True,1.266203,False,2025-09-22 15:45,True,False,False,True,1,0.17,-1.03,5.03,False,0.67,False,0.0,False,False,410.17,417.76,78,2.0,0.61
NKE,72.35,0,False,False,0.330284,False,2025-09-22 15:45,True,True,False,False,1,2.49,-2.56,2.57,False,0.33,True,0.5,False,False,71.69,73.67,302,2.0,0.91
MCD,303.495,0,True,False,0.709371,False,2025-09-22 15:45,True,False,False,False,0,0.37,-0.48,2.27,False,0.67,True,0.67,False,False,302.08,306.33,140,2.0,0.47
